index,image,groundTruth,mobilenet_v2_shift1,mobilenet_v2_shift1_abs_error
0,E:\桌面\kunmingr2\kunmingr2\4\1\0_0.0000.jpg,0.0,-0.6522343754768372,0.6522343754768372
1,E:\桌面\kunmingr2\kunmingr2\4\1\1_-1.6100.jpg,-1.61,-0.2138829529285431,1.396117047071457
2,E:\桌面\kunmingr2\kunmingr2\4\1\2_-1.6100.jpg,-1.61,-0.08195651322603226,1.5280434867739678
3,E:\桌面\kunmingr2\kunmingr2\4\1\3_-1.6100.jpg,-1.61,0.4706118702888489,2.080611870288849
4,E:\桌面\kunmingr2\kunmingr2\4\1\4_-1.6100.jpg,-1.61,-0.25915420055389404,1.350845799446106
5,E:\桌面\kunmingr2\kunmingr2\4\1\5_-1.6100.jpg,-1.61,-1.107387900352478,0.5026120996475221
6,E:\桌面\kunmingr2\kunmingr2\4\1\6_-1.6100.jpg,-1.61,0.183259055018425,1.793259055018425
7,E:\桌面\kunmingr2\kunmingr2\4\1\7_-1.6100.jpg,-1.61,-0.39802485704421997,1.2119751429557801
8,E:\桌面\kunmingr2\kunmingr2\4\1\8_-1.6100.jpg,-1.61,-0.6715553402900696,0.9384446597099305
9,E:\桌面\kunmingr2\kunmingr2\4\1\9_-1.6100.jpg,-1.61,0.37977612018585205,1.9897761201858521
10,E:\桌面\kunmingr2\kunmingr2\4\1\10_-1.6100.jpg,-1.61,-0.4973888397216797,1.1126111602783204
11,E:\桌面\kunmingr2\kunmingr2\4\1\11_-1.6100.jpg,-1.61,-0.42327386140823364,1.1867261385917665
12,E:\桌面\kunmingr2\kunmingr2\4\1\12_-1.6100.jpg,-1.61,-0.43418943881988525,1.1758105611801148
13,E:\桌面\kunmingr2\kunmingr2\4\1\13_-1.6100.jpg,-1.61,-0.20794668793678284,1.4020533120632173
14,E:\桌面\kunmingr2\kunmingr2\4\1\14_-1.6100.jpg,-1.61,-0.46383893489837646,1.1461610651016236
15,E:\桌面\kunmingr2\kunmingr2\4\1\15_-1.6100.jpg,-1.61,-0.25649118423461914,1.353508815765381
16,E:\桌面\kunmingr2\kunmingr2\4\1\16_-1.6100.jpg,-1.61,0.18103064596652985,1.79103064596653
17,E:\桌面\kunmingr2\kunmingr2\4\1\17_-1.6100.jpg,-1.61,-0.018435493111610413,1.5915645068883897
18,E:\桌面\kunmingr2\kunmingr2\4\1\18_-1.6100.jpg,-1.61,0.497236430644989,2.1072364306449893
19,E:\桌面\kunmingr2\kunmingr2\4\1\19_-1.6100.jpg,-1.61,0.7502492070198059,2.3602492070198062
20,E:\桌面\kunmingr2\kunmingr2\4\1\20_1.7000.jpg,1.7,0.6915693283081055,1.0084306716918945
21,E:\桌面\kunmingr2\kunmingr2\4\1\21_1.7000.jpg,1.7,0.9969752430915833,0.7030247569084167
22,E:\桌面\kunmingr2\kunmingr2\4\1\22_1.7000.jpg,1.7,0.887017548084259,0.8129824519157409
23,E:\桌面\kunmingr2\kunmingr2\4\1\23_1.7000.jpg,1.7,1.1301888227462769,0.5698111772537231
24,E:\桌面\kunmingr2\kunmingr2\4\1\24_1.7000.jpg,1.7,0.9357814192771912,0.7642185807228088
25,E:\桌面\kunmingr2\kunmingr2\4\1\25_1.7000.jpg,1.7,0.797275960445404,0.9027240395545959
26,E:\桌面\kunmingr2\kunmingr2\4\1\26_1.7000.jpg,1.7,0.636522114276886,1.063477885723114
27,E:\桌面\kunmingr2\kunmingr2\4\1\27_1.7000.jpg,1.7,0.5714138746261597,1.1285861253738403
28,E:\桌面\kunmingr2\kunmingr2\4\1\28_1.7000.jpg,1.7,0.18623574078083038,1.5137642592191696
29,E:\桌面\kunmingr2\kunmingr2\4\1\29_1.7000.jpg,1.7,-0.5498077869415283,2.2498077869415285
30,E:\桌面\kunmingr2\kunmingr2\4\1\30_1.7000.jpg,1.7,0.04276047646999359,1.6572395235300064
31,E:\桌面\kunmingr2\kunmingr2\4\1\31_1.7000.jpg,1.7,-0.2811642587184906,1.9811642587184906
32,E:\桌面\kunmingr2\kunmingr2\4\1\32_1.7000.jpg,1.7,-0.5519505143165588,2.251950514316559
