index,image,groundTruth,mobilenet_v2,mobilenet_v2_abs_error
0,E:\桌面\kunmingr2\kunmingr2\4\1\0_0.0000.jpg,0.0,-1.5666152238845825,1.5666152238845825
1,E:\桌面\kunmingr2\kunmingr2\4\1\1_-1.6100.jpg,-1.61,-1.5729659795761108,0.03703402042388926
2,E:\桌面\kunmingr2\kunmingr2\4\1\2_-1.6100.jpg,-1.61,-1.5703701972961426,0.03962980270385752
3,E:\桌面\kunmingr2\kunmingr2\4\1\3_-1.6100.jpg,-1.61,-1.57729172706604,0.03270827293396006
4,E:\桌面\kunmingr2\kunmingr2\4\1\4_-1.6100.jpg,-1.61,-1.512428879737854,0.0975711202621461
5,E:\桌面\kunmingr2\kunmingr2\4\1\5_-1.6100.jpg,-1.61,-1.0275613069534302,0.5824386930465699
6,E:\桌面\kunmingr2\kunmingr2\4\1\6_-1.6100.jpg,-1.61,-0.9368728995323181,0.673127100467682
7,E:\桌面\kunmingr2\kunmingr2\4\1\7_-1.6100.jpg,-1.61,-1.5132468938827515,0.09675310611724863
8,E:\桌面\kunmingr2\kunmingr2\4\1\8_-1.6100.jpg,-1.61,-1.483111023902893,0.12688897609710703
9,E:\桌面\kunmingr2\kunmingr2\4\1\9_-1.6100.jpg,-1.61,-1.4926897287368774,0.11731027126312266
10,E:\桌面\kunmingr2\kunmingr2\4\1\10_-1.6100.jpg,-1.61,-0.6744095683097839,0.9355904316902162
11,E:\桌面\kunmingr2\kunmingr2\4\1\11_-1.6100.jpg,-1.61,-1.4019831418991089,0.2080168581008912
12,E:\桌面\kunmingr2\kunmingr2\4\1\12_-1.6100.jpg,-1.61,-1.5173276662826538,0.09267233371734629
13,E:\桌面\kunmingr2\kunmingr2\4\1\13_-1.6100.jpg,-1.61,-1.2598696947097778,0.35013030529022227
14,E:\桌面\kunmingr2\kunmingr2\4\1\14_-1.6100.jpg,-1.61,-1.436324954032898,0.17367504596710215
15,E:\桌面\kunmingr2\kunmingr2\4\1\15_-1.6100.jpg,-1.61,-1.4981881380081177,0.11181186199188242
16,E:\桌面\kunmingr2\kunmingr2\4\1\16_-1.6100.jpg,-1.61,-1.4583173990249634,0.15168260097503672
17,E:\桌面\kunmingr2\kunmingr2\4\1\17_-1.6100.jpg,-1.61,-1.5193073749542236,0.09069262504577646
18,E:\桌面\kunmingr2\kunmingr2\4\1\18_-1.6100.jpg,-1.61,0.427767813205719,2.0377678132057193
