index,image,groundTruth,improved_mobilenet_aux,improved_mobilenet_aux_abs_error,legacy_original_cnn,legacy_original_cnn_abs_error
0,E:\桌面\kunmingr2\kunmingr2\2\1\0_0.0000.jpg,0.0,-0.11974066495895386,0.11974066495895386,1.276690125465393,1.276690125465393
1,E:\桌面\kunmingr2\kunmingr2\2\1\1_0.0000.jpg,0.0,0.2285574972629547,0.2285574972629547,1.2636682987213135,1.2636682987213135
2,E:\桌面\kunmingr2\kunmingr2\2\1\2_0.0000.jpg,0.0,0.10014735162258148,0.10014735162258148,1.1928666830062866,1.1928666830062866
3,E:\桌面\kunmingr2\kunmingr2\2\1\3_0.0000.jpg,0.0,0.18958497047424316,0.18958497047424316,1.1057556867599487,1.1057556867599487
4,E:\桌面\kunmingr2\kunmingr2\2\1\4_0.0000.jpg,0.0,-0.10463276505470276,0.10463276505470276,1.093246579170227,1.093246579170227
5,E:\桌面\kunmingr2\kunmingr2\2\1\5_0.0000.jpg,0.0,-0.09043127298355103,0.09043127298355103,1.0402705669403076,1.0402705669403076
6,E:\桌面\kunmingr2\kunmingr2\2\1\6_0.0000.jpg,0.0,-0.08436191082000732,0.08436191082000732,0.9558258056640625,0.9558258056640625
7,E:\桌面\kunmingr2\kunmingr2\2\1\7_0.0000.jpg,0.0,0.5680590271949768,0.5680590271949768,0.7829060554504395,0.7829060554504395
8,E:\桌面\kunmingr2\kunmingr2\2\1\8_0.0000.jpg,0.0,0.8777499794960022,0.8777499794960022,0.6059107780456543,0.6059107780456543
9,E:\桌面\kunmingr2\kunmingr2\2\1\9_0.0000.jpg,0.0,0.6774702668190002,0.6774702668190002,0.3055160939693451,0.3055160939693451
10,E:\桌面\kunmingr2\kunmingr2\2\1\10_0.0000.jpg,0.0,0.5479798316955566,0.5479798316955566,0.2051272839307785,0.2051272839307785
11,E:\桌面\kunmingr2\kunmingr2\2\1\11_0.0000.jpg,0.0,0.9387369155883789,0.9387369155883789,-0.2317890226840973,0.2317890226840973
12,E:\桌面\kunmingr2\kunmingr2\2\1\12_0.0000.jpg,0.0,1.3554606437683105,1.3554606437683105,-0.5651557445526123,0.5651557445526123
13,E:\桌面\kunmingr2\kunmingr2\2\1\13_1.3997.jpg,1.3997,0.9813452363014221,0.4183547636985778,-1.0533186197280884,2.4530186197280885
14,E:\桌面\kunmingr2\kunmingr2\2\1\14_1.3997.jpg,1.3997,1.2031354904174805,0.19656450958251948,-1.0531648397445679,2.452864839744568
15,E:\桌面\kunmingr2\kunmingr2\2\1\15_1.3997.jpg,1.3997,1.0908710956573486,0.3088289043426513,-1.2045303583145142,2.6042303583145143
16,E:\桌面\kunmingr2\kunmingr2\2\1\16_1.3997.jpg,1.3997,0.8800267577171326,0.5196732422828674,-1.1993974447250366,2.599097444725037
17,E:\桌面\kunmingr2\kunmingr2\2\1\17_1.3997.jpg,1.3997,1.3602306842803955,0.039469315719604436,-1.134819507598877,2.534519507598877
18,E:\桌面\kunmingr2\kunmingr2\2\1\18_1.3997.jpg,1.3997,1.2411906719207764,0.15850932807922358,-1.2280186414718628,2.627718641471863
19,E:\桌面\kunmingr2\kunmingr2\2\1\19_1.3997.jpg,1.3997,0.8206571936607361,0.5790428063392639,-1.3246253728866577,2.724325372886658
20,E:\桌面\kunmingr2\kunmingr2\2\1\20_1.3997.jpg,1.3997,1.0106528997421265,0.3890471002578735,-1.3886915445327759,2.788391544532776
21,E:\桌面\kunmingr2\kunmingr2\2\1\21_1.3997.jpg,1.3997,1.1575140953063965,0.24218590469360346,-1.4187134504318237,2.818413450431824
22,E:\桌面\kunmingr2\kunmingr2\2\1\22_1.3997.jpg,1.3997,1.1327672004699707,0.26693279953002924,-1.4262869358062744,2.8259869358062746
23,E:\桌面\kunmingr2\kunmingr2\2\1\23_1.3997.jpg,1.3997,1.133772850036621,0.26592714996337885,-1.3954600095748901,2.7951600095748903
24,E:\桌面\kunmingr2\kunmingr2\2\1\24_1.3997.jpg,1.3997,1.0406427383422852,0.3590572616577148,-1.3659758567810059,2.765675856781006
25,E:\桌面\kunmingr2\kunmingr2\2\1\25_1.3997.jpg,1.3997,0.4205434322357178,0.9791565677642822,-1.3025730848312378,2.702273084831238
26,E:\桌面\kunmingr2\kunmingr2\2\1\26_1.3997.jpg,1.3997,0.5702506303787231,0.8294493696212768,-1.2391459941864014,2.6388459941864015
27,E:\桌面\kunmingr2\kunmingr2\2\1\27_1.3997.jpg,1.3997,0.7488847374916077,0.6508152625083923,-1.0893632173538208,2.489063217353821
28,E:\桌面\kunmingr2\kunmingr2\2\1\28_1.3997.jpg,1.3997,0.7602480053901672,0.6394519946098327,-1.0229068994522095,2.4226068994522096
29,E:\桌面\kunmingr2\kunmingr2\2\1\29_1.3997.jpg,1.3997,0.9753332734107971,0.4243667265892028,-1.042913556098938,2.442613556098938
30,E:\桌面\kunmingr2\kunmingr2\2\1\30_1.3997.jpg,1.3997,1.2490665912628174,0.15063340873718256,-1.0555381774902344,2.4552381774902345
31,E:\桌面\kunmingr2\kunmingr2\2\1\31_1.3997.jpg,1.3997,1.3457486629486084,0.053951337051391546,-1.1961551904678345,2.5958551904678346
32,E:\桌面\kunmingr2\kunmingr2\2\1\32_1.3997.jpg,1.3997,0.9271066188812256,0.47259338111877436,-1.1613359451293945,2.5610359451293947
33,E:\桌面\kunmingr2\kunmingr2\2\1\33_1.3997.jpg,1.3997,1.272123098373413,0.12757690162658686,-1.1611665487289429,2.560866548728943
34,E:\桌面\kunmingr2\kunmingr2\2\1\34_1.3997.jpg,1.3997,1.0075271129608154,0.3921728870391845,-1.111514925956726,2.5112149259567262
35,E:\桌面\kunmingr2\kunmingr2\2\1\35_1.3997.jpg,1.3997,0.12848077714443207,1.2712192228555679,-1.103523850440979,2.503223850440979
36,E:\桌面\kunmingr2\kunmingr2\2\1\36_1.3997.jpg,1.3997,0.5513610243797302,0.8483389756202697,-1.0802634954452515,2.4799634954452516
37,E:\桌面\kunmingr2\kunmingr2\2\1\37_1.3997.jpg,1.3997,0.3000696003437042,1.0996303996562957,-1.1213022470474243,2.5210022470474245
38,E:\桌面\kunmingr2\kunmingr2\2\1\38_1.3997.jpg,1.3997,0.6870480179786682,0.7126519820213317,-1.161245584487915,2.560945584487915
39,E:\桌面\kunmingr2\kunmingr2\2\1\39_1.3997.jpg,1.3997,0.2802300453186035,1.1194699546813964,-1.2333155870437622,2.6330155870437624
40,E:\桌面\kunmingr2\kunmingr2\2\1\40_1.3997.jpg,1.3997,0.7557159662246704,0.6439840337753295,-1.2937721014022827,2.693472101402283
41,E:\桌面\kunmingr2\kunmingr2\2\1\41_1.3997.jpg,1.3997,0.20108135044574738,1.1986186495542526,-1.3881341218948364,2.7878341218948366
42,E:\桌面\kunmingr2\kunmingr2\2\1\42_1.3997.jpg,1.3997,0.34563469886779785,1.054065301132202,-1.4181169271469116,2.817816927146912
43,E:\桌面\kunmingr2\kunmingr2\2\1\43_1.3997.jpg,1.3997,0.43510639667510986,0.9645936033248901,-1.4778695106506348,2.877569510650635
44,E:\桌面\kunmingr2\kunmingr2\2\1\44_1.3997.jpg,1.3997,-0.1260400116443634,1.5257400116443633,-1.5305496454238892,2.9302496454238893
45,E:\桌面\kunmingr2\kunmingr2\2\1\45_1.3997.jpg,1.3997,-0.024639666080474854,1.4243396660804748,-1.529126524925232,2.928826524925232
46,E:\桌面\kunmingr2\kunmingr2\2\1\46_1.3997.jpg,1.3997,-0.20726153254508972,1.6069615325450897,-1.525469183921814,2.925169183921814
47,E:\桌面\kunmingr2\kunmingr2\2\1\47_1.3997.jpg,1.3997,-0.325615257024765,1.725315257024765,-1.5019456148147583,2.9016456148147585
48,E:\桌面\kunmingr2\kunmingr2\2\1\48_1.3997.jpg,1.3997,-0.5780739784240723,1.9777739784240722,-1.5227679014205933,2.9224679014205934
49,E:\桌面\kunmingr2\kunmingr2\2\1\49_1.3997.jpg,1.3997,-0.4028316140174866,1.8025316140174865,-1.538303017616272,2.938003017616272
50,E:\桌面\kunmingr2\kunmingr2\2\1\50_1.3997.jpg,1.3997,-0.7119777798652649,2.111677779865265,-1.5450574159622192,2.9447574159622194
51,E:\桌面\kunmingr2\kunmingr2\2\1\51_1.3997.jpg,1.3997,-0.2958607077598572,1.6955607077598571,-1.5729624032974243,2.9726624032974245
