index,image,groundTruth,mobilenet_v2_shift1,mobilenet_v2_shift1_abs_error
0,E:\桌面\data1\0_0.0000.jpg,0.0,0.4638187289237976,0.4638187289237976
1,E:\桌面\data1\1_0.0000.jpg,0.0,0.0485931932926178,0.0485931932926178
2,E:\桌面\data1\2_0.0000.jpg,0.0,0.016793355345726013,0.016793355345726013
3,E:\桌面\data1\3_0.0000.jpg,0.0,-0.39861518144607544,0.39861518144607544
4,E:\桌面\data1\4_0.0000.jpg,0.0,0.8979817032814026,0.8979817032814026
5,E:\桌面\data1\5_0.0000.jpg,0.0,-1.2385962009429932,1.2385962009429932
6,E:\桌面\data1\6_0.0000.jpg,0.0,-0.027235612273216248,0.027235612273216248
7,E:\桌面\data1\7_0.0000.jpg,0.0,0.11550115048885345,0.11550115048885345
8,E:\桌面\data1\8_0.0000.jpg,0.0,-0.07165162265300751,0.07165162265300751
9,E:\桌面\data1\9_0.0000.jpg,0.0,0.007060244679450989,0.007060244679450989
10,E:\桌面\data1\10_0.0000.jpg,0.0,-0.147451251745224,0.147451251745224
11,E:\桌面\data1\11_0.0000.jpg,0.0,-0.018923848867416382,0.018923848867416382
12,E:\桌面\data1\12_0.0000.jpg,0.0,-0.06093683838844299,0.06093683838844299
13,E:\桌面\data1\13_0.0000.jpg,0.0,-0.12830421328544617,0.12830421328544617
14,E:\桌面\data1\14_0.0000.jpg,0.0,-0.03882996737957001,0.03882996737957001
15,E:\桌面\data1\15_0.0000.jpg,0.0,-0.3951027989387512,0.3951027989387512
16,E:\桌面\data1\16_0.0000.jpg,0.0,0.031290292739868164,0.031290292739868164
17,E:\桌面\data1\17_0.0000.jpg,0.0,-0.1392948031425476,0.1392948031425476
18,E:\桌面\data1\18_0.0000.jpg,0.0,0.005916908383369446,0.005916908383369446
19,E:\桌面\data1\19_0.0000.jpg,0.0,0.11107508838176727,0.11107508838176727
20,E:\桌面\data1\20_0.0000.jpg,0.0,-0.09879294782876968,0.09879294782876968
21,E:\桌面\data1\21_0.0000.jpg,0.0,-0.22319157421588898,0.22319157421588898
22,E:\桌面\data1\22_0.0000.jpg,0.0,0.07081502676010132,0.07081502676010132
23,E:\桌面\data1\23_0.0000.jpg,0.0,0.4018402099609375,0.4018402099609375
24,E:\桌面\data1\24_0.0000.jpg,0.0,-0.08514098823070526,0.08514098823070526
25,E:\桌面\data1\25_0.0000.jpg,0.0,0.04531644284725189,0.04531644284725189
26,E:\桌面\data1\26_0.0000.jpg,0.0,-0.14991478621959686,0.14991478621959686
27,E:\桌面\data1\27_0.0000.jpg,0.0,0.7549060583114624,0.7549060583114624
28,E:\桌面\data1\28_0.0000.jpg,0.0,0.5204954743385315,0.5204954743385315
29,E:\桌面\data1\29_1.5110.jpg,1.511,1.2418205738067627,0.2691794261932372
30,E:\桌面\data1\30_1.5110.jpg,1.511,1.4288350343704224,0.08216496562957754
31,E:\桌面\data1\31_1.5110.jpg,1.511,1.5427603721618652,0.031760372161865336
32,E:\桌面\data1\32_1.5110.jpg,1.511,1.182021141052246,0.3289788589477538
33,E:\桌面\data1\33_1.5110.jpg,1.511,1.4125267267227173,0.09847327327728261
34,E:\桌面\data1\34_1.5110.jpg,1.511,1.2913223505020142,0.21967764949798574
35,E:\桌面\data1\35_1.5110.jpg,1.511,0.8755720257759094,0.6354279742240905
36,E:\桌面\data1\36_1.5110.jpg,1.511,1.0393811464309692,0.47161885356903066
37,E:\桌面\data1\37_1.5110.jpg,1.511,0.14255110919475555,1.3684488908052443
38,E:\桌面\data1\38_0.0000.jpg,0.0,1.1068477630615234,1.1068477630615234
39,E:\桌面\data1\39_1.5110.jpg,1.511,0.34686362743377686,1.164136372566223
40,E:\桌面\data1\40_1.5110.jpg,1.511,1.5152336359024048,0.004233635902404886
41,E:\桌面\data1\41_1.5110.jpg,1.511,1.4718092679977417,0.0391907320022582
42,E:\桌面\data1\42_1.5110.jpg,1.511,1.3912228345870972,0.11977716541290273
43,E:\桌面\data1\43_1.5110.jpg,1.511,1.5538533926010132,0.042853392601013285
44,E:\桌面\data1\44_1.5110.jpg,1.511,1.5383450984954834,0.0273450984954835
45,E:\桌面\data1\45_1.5110.jpg,1.511,1.4481338262557983,0.06286617374420156
46,E:\桌面\data1\46_1.5110.jpg,1.511,1.4335476160049438,0.07745238399505605
47,E:\桌面\data1\47_1.5110.jpg,1.511,1.6357382535934448,0.12473825359344493
48,E:\桌面\data1\48_1.5110.jpg,1.511,1.5480282306671143,0.03702823066711436
49,E:\桌面\data1\49_0.0000.jpg,0.0,1.024518609046936,1.024518609046936
50,E:\桌面\data1\50_1.5110.jpg,1.511,0.17636777460575104,1.3346322253942489
51,E:\桌面\data1\51_1.5110.jpg,1.511,1.5581921339035034,0.04719213390350352
52,E:\桌面\data1\52_1.5110.jpg,1.511,1.5028306245803833,0.008169375419616598
53,E:\桌面\data1\53_1.5110.jpg,1.511,1.454196572303772,0.056803427696227926
54,E:\桌面\data1\54_1.5110.jpg,1.511,1.006090760231018,0.5049092397689818
55,E:\桌面\data1\55_1.5110.jpg,1.511,1.600466012954712,0.08946601295471202
