groundTruth,count,mobilenet_v2_mae,mobilenet_v2_mean_pred,mobilenet_v2_mean_bias
-1.62,50,0.3755028484106065,-1.245451541543007,0.37454845845699325
-1.6,108,0.19607766740438018,-1.4121917887349371,0.18780821126506295
-1.58,88,0.16313195262781602,-1.4250312138518149,0.15496878614818516
-1.56,87,0.11830138748918459,-1.458541092216626,0.1014589077833741
-1.5,333,0.15842835722328932,-1.362959422453589,0.1370405775464109
0.0,534,0.15212722474967272,-0.02228581571205055,-0.02228581571205055
1.5,76,0.17488742002138966,1.3309258743140258,-0.16907412568597416
1.51,150,0.15148069556256136,1.3817001397162676,-0.12829986028373241
1.511,173,0.1287482585965553,1.4082155804327459,-0.10278441956725415
1.64,72,0.11969735497815732,1.5230731124886208,-0.11692688751137907
1.72,72,0.1863278620979852,1.5344819711107347,-0.18551802888926527
