index,image,groundTruth,mobilenet_v2,mobilenet_v2_abs_error
0,E:\桌面\data1\0_0.0000.jpg,0.0,-0.012616246938705444,0.012616246938705444
1,E:\桌面\data1\1_0.0000.jpg,0.0,-0.014275670051574707,0.014275670051574707
2,E:\桌面\data1\2_0.0000.jpg,0.0,0.004230640362948179,0.004230640362948179
3,E:\桌面\data1\3_0.0000.jpg,0.0,-0.016796626150608063,0.016796626150608063
4,E:\桌面\data1\4_0.0000.jpg,0.0,0.3809153139591217,0.3809153139591217
5,E:\桌面\data1\5_0.0000.jpg,0.0,0.040198735892772675,0.040198735892772675
6,E:\桌面\data1\6_0.0000.jpg,0.0,-0.006836750078946352,0.006836750078946352
7,E:\桌面\data1\7_0.0000.jpg,0.0,-0.08576139807701111,0.08576139807701111
8,E:\桌面\data1\8_0.0000.jpg,0.0,-0.01254735141992569,0.01254735141992569
9,E:\桌面\data1\9_0.0000.jpg,0.0,0.018560774624347687,0.018560774624347687
10,E:\桌面\data1\10_0.0000.jpg,0.0,-0.04850643128156662,0.04850643128156662
11,E:\桌面\data1\11_0.0000.jpg,0.0,0.0205976739525795,0.0205976739525795
12,E:\桌面\data1\12_0.0000.jpg,0.0,-0.02236977219581604,0.02236977219581604
13,E:\桌面\data1\13_0.0000.jpg,0.0,0.002723097335547209,0.002723097335547209
14,E:\桌面\data1\14_0.0000.jpg,0.0,-0.03504040092229843,0.03504040092229843
15,E:\桌面\data1\15_0.0000.jpg,0.0,0.05858152359724045,0.05858152359724045
16,E:\桌面\data1\16_0.0000.jpg,0.0,-0.04736768454313278,0.04736768454313278
17,E:\桌面\data1\17_0.0000.jpg,0.0,-0.050009675323963165,0.050009675323963165
18,E:\桌面\data1\18_0.0000.jpg,0.0,-0.1519974172115326,0.1519974172115326
19,E:\桌面\data1\19_0.0000.jpg,0.0,-0.011042021214962006,0.011042021214962006
20,E:\桌面\data1\20_0.0000.jpg,0.0,-0.19723810255527496,0.19723810255527496
21,E:\桌面\data1\21_0.0000.jpg,0.0,-0.10468394309282303,0.10468394309282303
22,E:\桌面\data1\22_0.0000.jpg,0.0,-0.05328736454248428,0.05328736454248428
23,E:\桌面\data1\23_0.0000.jpg,0.0,0.5122777223587036,0.5122777223587036
24,E:\桌面\data1\24_0.0000.jpg,0.0,-0.02945391833782196,0.02945391833782196
25,E:\桌面\data1\25_0.0000.jpg,0.0,0.17016445100307465,0.17016445100307465
26,E:\桌面\data1\26_0.0000.jpg,0.0,0.07102786749601364,0.07102786749601364
27,E:\桌面\data1\27_0.0000.jpg,0.0,0.09960499405860901,0.09960499405860901
