groundTruth,count,improved_mobilenet_aux_mae,improved_mobilenet_aux_mean_pred,legacy_original_cnn_mae,legacy_original_cnn_mean_pred
-1.62,50,0.33342698171138774,-1.3035504299402236,0.2972567062616349,-1.3494017595052719
-1.6,108,0.2328289304066588,-1.3899231903530933,0.20337681621313106,-1.4167912423058793
-1.58,88,0.18107593667100777,-1.4249228223819623,0.10444394042546103,-1.4944866960021583
-1.56,87,0.13960655053456628,-1.4700049709999699,0.10262714888857703,-1.4702953199545543
-1.5,333,0.18460914197268788,-1.366918252216087,0.14920130148306265,-1.375276375819255
0.0,534,0.2886598129174236,-0.04124103123775582,0.20713132042228505,0.010788856736952892
1.5,76,0.35197317541429873,1.1833570511325409,0.1705815188194576,1.373029442994218
1.51,150,0.11287613604863485,1.4427643036842346,0.3418297096172969,1.2076741935809454
1.511,173,0.19923437042319017,1.3661010025898157,0.16609014585528067,1.37874969512741
1.64,72,0.11786793516741856,1.5359698086977005,0.2265064662198226,1.4767152662906382
1.72,72,0.1522509986700283,1.5900807673525479,0.16664715129468174,1.58026906558209
